
file            [index]  value      size  bind  type  vis   shndx  symbol name 

src\os\freertos\list.c.1.obj|[0]     |0x00000000|0|LOCL |NONE |DFLT |UNDEF |
src\os\freertos\list.c.1.obj|[66]    |0x00000000|0|LOCL |SECT |HIDN |68    |.debug_abbrev
src\os\freertos\list.c.1.obj|[64]    |0x00000000|0|LOCL |SECT |HIDN |66    |.debug_abbrev
src\os\freertos\list.c.1.obj|[50]    |0x00000000|0|LOCL |SECT |HIDN |52    |.debug_abbrev
src\os\freertos\list.c.1.obj|[60]    |0x00000000|0|LOCL |SECT |HIDN |62    |.debug_abbrev
src\os\freertos\list.c.1.obj|[67]    |0x00000000|0|LOCL |SECT |HIDN |70    |.debug_aranges
src\os\freertos\list.c.1.obj|[40]    |0x00000000|0|LOCL |SECT |HIDN |43    |.debug_frame
src\os\freertos\list.c.1.obj|[24]    |0x00000000|0|LOCL |SECT |HIDN |27    |.debug_info
src\os\freertos\list.c.1.obj|[25]    |0x00000000|0|LOCL |SECT |HIDN |28    |.debug_info
src\os\freertos\list.c.1.obj|[12]    |0x00000000|0|LOCL |SECT |HIDN |15    |.debug_info
src\os\freertos\list.c.1.obj|[13]    |0x00000000|0|LOCL |SECT |HIDN |16    |.debug_info
src\os\freertos\list.c.1.obj|[14]    |0x00000000|0|LOCL |SECT |HIDN |17    |.debug_info
src\os\freertos\list.c.1.obj|[15]    |0x00000000|0|LOCL |SECT |HIDN |18    |.debug_info
src\os\freertos\list.c.1.obj|[16]    |0x00000000|0|LOCL |SECT |HIDN |19    |.debug_info
src\os\freertos\list.c.1.obj|[17]    |0x00000000|0|LOCL |SECT |HIDN |20    |.debug_info
src\os\freertos\list.c.1.obj|[18]    |0x00000000|0|LOCL |SECT |HIDN |21    |.debug_info
src\os\freertos\list.c.1.obj|[19]    |0x00000000|0|LOCL |SECT |HIDN |22    |.debug_info
src\os\freertos\list.c.1.obj|[20]    |0x00000000|0|LOCL |SECT |HIDN |23    |.debug_info
src\os\freertos\list.c.1.obj|[21]    |0x00000000|0|LOCL |SECT |HIDN |24    |.debug_info
src\os\freertos\list.c.1.obj|[22]    |0x00000000|0|LOCL |SECT |HIDN |25    |.debug_info
src\os\freertos\list.c.1.obj|[23]    |0x00000000|0|LOCL |SECT |HIDN |26    |.debug_info
src\os\freertos\list.c.1.obj|[30]    |0x00000000|0|LOCL |SECT |HIDN |33    |.debug_line
src\os\freertos\list.c.1.obj|[26]    |0x00000000|0|LOCL |SECT |HIDN |29    |.debug_line
src\os\freertos\list.c.1.obj|[27]    |0x00000000|0|LOCL |SECT |HIDN |30    |.debug_line
src\os\freertos\list.c.1.obj|[28]    |0x00000000|0|LOCL |SECT |HIDN |31    |.debug_line
src\os\freertos\list.c.1.obj|[29]    |0x00000000|0|LOCL |SECT |HIDN |32    |.debug_line
src\os\freertos\list.c.1.obj|[31]    |0x00000000|0|LOCL |SECT |HIDN |34    |.debug_line
src\os\freertos\list.c.1.obj|[32]    |0x00000000|0|LOCL |SECT |HIDN |35    |.debug_line
src\os\freertos\list.c.1.obj|[33]    |0x00000000|0|LOCL |SECT |HIDN |36    |.debug_line
src\os\freertos\list.c.1.obj|[34]    |0x00000000|0|LOCL |SECT |HIDN |37    |.debug_line
src\os\freertos\list.c.1.obj|[37]    |0x00000000|0|LOCL |SECT |HIDN |40    |.debug_line
src\os\freertos\list.c.1.obj|[39]    |0x00000000|0|LOCL |SECT |HIDN |42    |.debug_line
src\os\freertos\list.c.1.obj|[36]    |0x00000000|0|LOCL |SECT |HIDN |39    |.debug_line
src\os\freertos\list.c.1.obj|[38]    |0x00000000|0|LOCL |SECT |HIDN |41    |.debug_line
src\os\freertos\list.c.1.obj|[35]    |0x00000000|0|LOCL |SECT |HIDN |38    |.debug_line
src\os\freertos\list.c.1.obj|[68]    |0x00000000|0|LOCL |SECT |HIDN |71    |.debug_pubnames
src\os\freertos\list.c.1.obj|[72]    |0x00000000|0|LOCL |SECT |HIDN |75    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[71]    |0x00000000|0|LOCL |SECT |HIDN |74    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[69]    |0x00000000|0|LOCL |SECT |HIDN |72    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[70]    |0x00000000|0|LOCL |SECT |HIDN |73    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[73]    |0x00000000|0|LOCL |SECT |HIDN |76    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[74]    |0x00000000|0|LOCL |SECT |HIDN |77    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[75]    |0x00000000|0|LOCL |SECT |HIDN |78    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[76]    |0x00000000|0|LOCL |SECT |HIDN |79    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[77]    |0x00000000|0|LOCL |SECT |HIDN |80    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[78]    |0x00000000|0|LOCL |SECT |HIDN |81    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[79]    |0x00000000|0|LOCL |SECT |HIDN |82    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[80]    |0x00000000|0|LOCL |SECT |HIDN |83    |.debug_pubtypes
src\os\freertos\list.c.1.obj|[61]    |0x00000000|0|LOCL |SECT |HIDN |65    |.debug_str
src\os\freertos\list.c.1.obj|[63]    |0x00000000|0|LOCL |SECT |HIDN |67    |.debug_str
src\os\freertos\list.c.1.obj|[65]    |0x00000000|0|LOCL |SECT |HIDN |69    |.debug_str
src\os\freertos\list.c.1.obj|[53]    |0x00000000|0|LOCL |SECT |HIDN |57    |.debug_str
src\os\freertos\list.c.1.obj|[51]    |0x00000000|0|LOCL |SECT |HIDN |55    |.debug_str
src\os\freertos\list.c.1.obj|[49]    |0x00000000|0|LOCL |SECT |HIDN |53    |.debug_str
src\os\freertos\list.c.1.obj|[47]    |0x00000000|0|LOCL |SECT |HIDN |51    |.debug_str
src\os\freertos\list.c.1.obj|[55]    |0x00000000|0|LOCL |SECT |HIDN |59    |.debug_str
src\os\freertos\list.c.1.obj|[45]    |0x00000000|0|LOCL |SECT |HIDN |49    |.debug_str
src\os\freertos\list.c.1.obj|[57]    |0x00000000|0|LOCL |SECT |HIDN |61    |.debug_str
src\os\freertos\list.c.1.obj|[43]    |0x00000000|0|LOCL |SECT |HIDN |47    |.debug_str
src\os\freertos\list.c.1.obj|[59]    |0x00000000|0|LOCL |SECT |HIDN |63    |.debug_str
src\os\freertos\list.c.1.obj|[6]     |0x00000000|0|LOCL |SECT |HIDN |14    |.kernelTEXT
src\os\freertos\list.c.1.obj|[5]     |0x00000000|0|LOCL |SECT |HIDN |13    |.text
src\os\freertos\list.c.1.obj|[81]    |0x00000000|0|WEAK |FUNC |HIDN |UNDEF |Lib$$Request$$armlib
src\os\freertos\list.c.1.obj|[82]    |0x00000000|0|WEAK |FUNC |HIDN |UNDEF |Lib$$Request$$cpplib
src\os\freertos\list.c.1.obj|[93]    |0x00000000|0|GLOB |NONE |HIDN |22    |__TI_DW.debug_info.$base_types.c8c38483d660372cd06395436475430b
src\os\freertos\list.c.1.obj|[90]    |0x00000000|0|GLOB |NONE |HIDN |19    |__TI_DW.debug_info.FreeRTOS.h.df5e2fab0059cac3ff0fdbef6a242819
src\os\freertos\list.c.1.obj|[97]    |0x00000000|0|GLOB |NONE |HIDN |26    |__TI_DW.debug_info._stdint.h.55dc0724062de24f6648c36a36931c9a
src\os\freertos\list.c.1.obj|[89]    |0x00000000|0|GLOB |NONE |HIDN |18    |__TI_DW.debug_info._types.h.59562a94a523b27bdcf6ba60164276f0
src\os\freertos\list.c.1.obj|[95]    |0x00000000|0|GLOB |NONE |HIDN |24    |__TI_DW.debug_info._types.h.62a9317002fb36f2a0c7d45aa6f41cd3
src\os\freertos\list.c.1.obj|[99]    |0x00000000|0|GLOB |NONE |HIDN |28    |__TI_DW.debug_info.list.h.4d6d03950ec964682d1452032bc583c0
src\os\freertos\list.c.1.obj|[91]    |0x00000000|0|GLOB |NONE |HIDN |20    |__TI_DW.debug_info.portable.h.c22e7902343b281b9dfb5a002b5bae73
src\os\freertos\list.c.1.obj|[92]    |0x00000000|0|GLOB |NONE |HIDN |21    |__TI_DW.debug_info.portmacro.h.27a49087feeaefca4aa91ed2620167d4
src\os\freertos\list.c.1.obj|[94]    |0x00000000|0|GLOB |NONE |HIDN |23    |__TI_DW.debug_info.projdefs.h.5856c2ba92afc82b3ee8e01784625b26
src\os\freertos\list.c.1.obj|[98]    |0x00000000|0|GLOB |NONE |HIDN |27    |__TI_DW.debug_info.stddef.h.b55b428debf61f932599c733e9f7c344
src\os\freertos\list.c.1.obj|[96]    |0x00000000|0|GLOB |NONE |HIDN |25    |__TI_DW.debug_info.stdint.h.ad4b679dbce029afdbcc9a8c662c70ff
src\os\freertos\list.c.1.obj|[88]    |0x00000000|0|GLOB |NONE |HIDN |17    |__TI_DW.debug_info.stdlib.h.adde039ded6738f74207681fc1a5745a
src\os\freertos\list.c.1.obj|[83]    |0x000000c8|72|GLOB |FUNC |HIDN |14    |uxListRemove
src\os\freertos\list.c.1.obj|[87]    |0x000000a4|36|GLOB |FUNC |HIDN |14    |vListInitialise
src\os\freertos\list.c.1.obj|[85]    |0x00000098|12|GLOB |FUNC |HIDN |14    |vListInitialiseItem
src\os\freertos\list.c.1.obj|[84]    |0x00000030|104|GLOB |FUNC |HIDN |14    |vListInsert
src\os\freertos\list.c.1.obj|[86]    |0x00000000|48|GLOB |FUNC |HIDN |14    |vListInsertEnd
src\os\freertos\list.c.1.obj|[1]     |0x00000000|0|LOCL |FILE |HIDN |ABS   |{DC5CEF16-C0AD-415D-B1DE-66C2438549D7}
